unit,value,statName,meterId,timestamp
Gallon,6091.769102114558,DailyTzTotal,FF0000000000E7FE,1723878000
Gallon,7624.515254061735,DailyTzTotal,FF0000000000E7FE,1723964400
Gallon,5320.431458340626,DailyTzTotal,FF0000000000E7FE,1724050800
Gallon,6595.238385241693,DailyTzTotal,FF0000000000E7FE,1724137200
Gallon,8248.210883063524,DailyTzTotal,FF0000000000E7FE,1724223600
Gallon,4303.285629607968,DailyTzTotal,FF0000000000E7FE,1724310000
Gallon,7963.273379551209,DailyTzTotal,FF0000000000E7FE,1724396400
Gallon,9299.669407550884,DailyTzTotal,FF0000000000E7FE,1724482800
Gallon,8126.638719445069,DailyTzTotal,FF0000000000E7FE,1724569200
Gallon,8011.899544083574,DailyTzTotal,FF0000000000E7FE,1724655600
Gallon,11969.826755723265,DailyTzTotal,FF0000000000E7FE,1724742000
Gallon,12735.707093617468,DailyTzTotal,FF0000000000E7FE,1724828400
Gallon,8263.29910447212,DailyTzTotal,FF0000000000E7FE,1724914800
Gallon,4248.84364633652,DailyTzTotal,FF0000000000E7FE,1725001200
Gallon,6921.527120098122,DailyTzTotal,FF0000000000E7FE,1725087600
Gallon,9481.392569639116,DailyTzTotal,FF0000000000E7FE,1725174000
Gallon,7668.860258595959,DailyTzTotal,FF0000000000E7FE,1725260400
Gallon,5094.639971914263,DailyTzTotal,FF0000000000E7FE,1725346800
Gallon,9845.079974038754,DailyTzTotal,FF0000000000E7FE,1725433200
Gallon,8674.728026470992,DailyTzTotal,FF0000000000E7FE,1725519600
Gallon,7563.79340477993,DailyTzTotal,FF0000000000E7FE,1725606000
Gallon,11168.134849838627,DailyTzTotal,FF0000000000E7FE,1725692400
Gallon,12449.270878972338,DailyTzTotal,FF0000000000E7FE,1725778800
Gallon,6394.302495059112,DailyTzTotal,FF0000000000E7FE,1725865200
Gallon,3341.0745884783055,DailyTzTotal,FF0000000000E7FE,1725951600
Gallon,6743.220959895543,DailyTzTotal,FF0000000000E7FE,1726038000
Gallon,6465.672047494505,DailyTzTotal,FF0000000000E7FE,1726124400
Gallon,5633.064165599757,DailyTzTotal,FF0000000000E7FE,1726210800
Gallon,4712.234774837882,DailyTzTotal,FF0000000000E7FE,1726297200
Gallon,8002.5830449409295,DailyTzTotal,FF0000000000E7FE,1726383600
Gallon,6971.162679555259,DailyTzTotal,FF0000000000E7FE,1726470000
